spellClass,spellLevel,name,spellKey,sourceBook,sourcePage,range,duration,effect,save,tags,manualNotes,reviewed,pageVerified,suggestedSourcePage,suggestedRange,suggestedDuration,suggestedEffect,suggestedSave,suggestedTags,validationStatus,nextAction
Magic-User,6,Geas,geas,Expert,17,30 ft,Until fulfilled,Compels a creature to perform a task or suffer penalties.,None,"control,quest",Magical command binding target to a task.,true,true,17,30 ft,Until fulfilled,Compels a creature to perform a task or suffer penalties.,None,"control,quest",ready,Ready for validation
Magic-User,6,Invisible Stalker,invisible-stalker,Expert,18,0,Until mission complete,Summons invisible stalker to perform a task.,None,"summoning,air",Invisible servant hunts or retrieves as commanded.,true,true,18,0,Until mission complete,Summons invisible stalker to perform a task.,None,"summoning,air",ready,Ready for validation
Magic-User,6,Lower Water,lower-water,Expert,18,240 ft,10 turns,Lowers water level in a large area.,None,"water,terrain",Creates passage through or reduces water.,true,true,18,240 ft,10 turns,Lowers water level in a large area.,None,"water,terrain",ready,Ready for validation
Magic-User,6,Move Earth,move-earth,Expert,18,240 ft,6 turns,"Moves soil terrain slowly, reshaping earth.",None,"earth,terrain","Large-scale earthmoving, not stone.",true,true,18,240 ft,6 turns,"Moves soil terrain slowly, reshaping earth.",None,"earth,terrain",ready,Ready for validation
Magic-User,6,Part Water,part-water,Expert,18,120 ft,6 turns,Parts water to create dry path.,None,"water,terrain",Opens a passage through water.,true,true,18,120 ft,6 turns,Parts water to create dry path.,None,"water,terrain",ready,Ready for validation
Magic-User,6,Projected Image,projected-image,Expert,18,240 ft,6 turns,Creates image through which caster can cast spells.,None,"illusion,scrying",Remote image acts as spellcasting origin.,true,true,18,240 ft,6 turns,Creates image through which caster can cast spells.,None,"illusion,scrying",ready,Ready for validation
Magic-User,6,Reincarnation,reincarnation,Expert,18,10 ft,Permanent,Returns dead character as a new body/creature.,None,"resurrection,polymorph",Restores life in a new form.,true,true,18,10 ft,Permanent,Returns dead character as a new body/creature.,None,"resurrection,polymorph",ready,Ready for validation
Magic-User,6,Stone to Flesh,stone-to-flesh,Expert,18,120 ft,Permanent,Restores petrified creature; reverse turns flesh to stone.,Spells negates reverse,"petrification,reversible",Reverses petrification; reverse petrifies a target.,true,true,18,120 ft,Permanent,Restores petrified creature; reverse turns flesh to stone.,Spells negates reverse,"petrification,reversible",ready,Ready for validation
Cleric,5,Cure Critical Wounds,cure-critical-wounds,Companion,12,Touch,Permanent,Cures 6-21 hp damage to one living creature; reverse causes same damage by touch.,None,"healing,damage,reversible",Major cure spell; reverse causes critical wounds by touch.,true,true,12,Touch,Permanent,Cures 6-21 hp damage to one living creature; reverse causes same damage by touch.,None,"healing,damage,reversible",ready,Ready for validation
Cleric,5,Truesight,truesight,Companion,12,0,1 turn + 1 round per level,"Reveals hidden, invisible, ethereal, disguised, and polymorphed things within 120 ft; also reveals alignment and power.",None,"detection,truth",Powerful true-seeing effect within 120 ft.,true,true,12,0,1 turn + 1 round per level,"Reveals hidden, invisible, ethereal, disguised, and polymorphed things within 120 ft; also reveals alignment and power.",None,"detection,truth",ready,Ready for validation
Cleric,6,Aerial Servant,aerial-servant,Companion,12,60 ft,1 day per level,Summons an aerial servant to fetch a described creature or item from an approximate location.,None,"summoning,ethereal,utility",Summons servant to retrieve one named target.,true,true,12,60 ft,1 day per level,Summons an aerial servant to fetch a described creature or item from an approximate location.,None,"summoning,ethereal,utility",ready,Ready for validation
Cleric,6,Barrier,barrier,Companion,12,60 ft,12 turns,Creates a 30 ft diameter by 30 ft high wall of whirling hammers; passing through causes 7-70 damage.,None,"barrier,damage,reversible",Blocks passage with damaging hammer barrier; reverse removes clerical/magical walls.,true,true,12,60 ft,12 turns,Creates a 30 ft diameter by 30 ft high wall of whirling hammers; passing through causes 7-70 damage.,None,"barrier,damage,reversible",ready,Ready for validation
Cleric,6,Create Normal Animals,create-normal-animals,Companion,12,30 ft,10 turns,"Creates 1 large, 3 medium, or 6 small normal loyal animals that obey the cleric.",None,"creation,animals,summoning",Creates temporary normal animals under command.,true,true,12,30 ft,10 turns,"Creates 1 large, 3 medium, or 6 small normal loyal animals that obey the cleric.",None,"creation,animals,summoning",ready,Ready for validation
Cleric,6,Cureall,cureall,Companion,13,Touch,Permanent,"Cures one major affliction or nearly all damage, leaving only 1-6 damage remaining.",None,"healing,restoration",Cures one condition or nearly all wounds.,true,true,13,Touch,Permanent,"Cures one major affliction or nearly all damage, leaving only 1-6 damage remaining.",None,"healing,restoration",ready,Ready for validation
Cleric,7,Earthquake,earthquake,Companion,13,120 yards,1 turn,"Shakes earth in a large area, damaging structures and opening cracks that may engulf creatures.",None,"earth,area,destruction",Creates destructive earth tremors over a scaling area.,true,true,13,120 yards,1 turn,"Shakes earth in a large area, damaging structures and opening cracks that may engulf creatures.",None,"earth,area,destruction",ready,Ready for validation
Cleric,7,Holy Word,holy-word,Companion,13,0,Instantaneous,"Affects all creatures within 40 ft whose alignment differs from the cleric: may kill, stun, or deafen by level.",Spells negates for level 13+ or same alignment,"alignment,area,power-word",Alignment-based area word with severe effects.,true,true,13,0,Instantaneous,"Affects all creatures within 40 ft whose alignment differs from the cleric: may kill, stun, or deafen by level.",Spells negates for level 13+ or same alignment,"alignment,area,power-word",ready,Ready for validation
Cleric,7,Raise Dead Fully,raise-dead-fully,Companion,13,60 ft,Permanent,Raises any living creature; humans and demi-humans return fully healed and ready to act.,Special,"resurrection,healing,reversible",Full resurrection; reverse obliterates living targets like the spell affects undead.,true,true,13,60 ft,Permanent,Raises any living creature; humans and demi-humans return fully healed and ready to act.,Special,"resurrection,healing,reversible",ready,Ready for validation
Cleric,7,Restore,restore,Companion,13,Touch,Permanent,Restores one full level of energy experience lost to energy drain; reverse drains one level.,None,"restoration,energy-drain,reversible",Restores one drained level; reverse drains one level.,true,true,13,Touch,Permanent,Restores one full level of energy experience lost to energy drain; reverse drains one level.,None,"restoration,energy-drain,reversible",ready,Ready for validation
Druid,1,Faerie Fire,faerie-fire,Companion,14,60 ft,1 round per level,Outlines detected creatures or objects with harmless green fire; attacks against them gain +2 to hit.,None,"detection,combat,light",Outlines targets and makes them easier to hit.,true,true,14,60 ft,1 round per level,Outlines detected creatures or objects with harmless green fire; attacks against them gain +2 to hit.,None,"detection,combat,light",ready,Ready for validation
Druid,1,Locate,locate,Companion,15,0,6 turns,"Caster senses direction of one known animal, plant, or natural outdoor object within range.",None,"detection,nature",Nature-focused locate effect.,true,true,15,0,6 turns,"Caster senses direction of one known animal, plant, or natural outdoor object within range.",None,"detection,nature",ready,Ready for validation
Druid,1,Predict Weather,predict-weather,Companion,15,0,12 hours,Caster accurately predicts natural weather in the local area for the next 12 hours.,None,"weather,utility",Predicts upcoming natural weather.,true,true,15,0,12 hours,Caster accurately predicts natural weather in the local area for the next 12 hours.,None,"weather,utility",ready,Ready for validation
Druid,2,Obscure,obscure,Companion,15,0,1 turn per level,"Creates a misty cloud around the druid, heavily obscuring sight in a 10 ft radius per level.",None,"weather,concealment",Creates fog-like concealment around caster.,true,true,15,0,1 turn per level,"Creates a misty cloud around the druid, heavily obscuring sight in a 10 ft radius per level.",None,"weather,concealment",ready,Ready for validation
Druid,2,Produce Fire,produce-fire,Companion,15,0,2 turns per level,Creates a magical flame in the druid's hand that can ignite objects or be thrown.,None,"fire,damage,utility",Creates controllable magical fire.,true,true,15,0,2 turns per level,Creates a magical flame in the druid's hand that can ignite objects or be thrown.,None,"fire,damage,utility",ready,Ready for validation
Druid,2,Warp Wood,warp-wood,Companion,15,240 ft,Permanent,"Bends and warps wooden weapons, doors, or objects, often making them useless.",None,"wood,control",Warps wooden objects out of shape.,true,true,15,240 ft,Permanent,"Bends and warps wooden weapons, doors, or objects, often making them useless.",None,"wood,control",ready,Ready for validation
Druid,3,Call Lightning,call-lightning,Companion,15,360 ft,1 turn per level,Calls lightning bolts from stormy skies; each bolt deals heavy electrical damage in an area.,Spells half,"lightning,damage,weather",Calls lightning during a storm.,true,true,15,360 ft,1 turn per level,Calls lightning bolts from stormy skies; each bolt deals heavy electrical damage in an area.,Spells half,"lightning,damage,weather",ready,Ready for validation
Druid,3,Hold Animal,hold-animal,Companion,15,180 ft,1 turn per level,Paralyzes normal or giant animals of animal intelligence within range.,Spells negates,"animals,paralysis",Holds animal targets immobile.,true,true,15,180 ft,1 turn per level,Paralyzes normal or giant animals of animal intelligence within range.,Spells negates,"animals,paralysis",ready,Ready for validation
Druid,3,Water Breathing,water-breathing,Companion,15,30 ft,1 day,Allows one air-breathing creature to breathe water; reverse lets water-breathers breathe air.,None,"water,breathing,utility",Allows breathing in water.,true,true,15,30 ft,1 day,Allows one air-breathing creature to breathe water; reverse lets water-breathers breathe air.,None,"water,breathing,utility",ready,Ready for validation
Druid,4,Control Temperature 10' Radius,control-temperature-10-radius,Companion,15,0,1 turn per level,Changes temperature within 10 ft of the caster to extreme heat or cold.,None,"weather,environment",Controls local temperature around caster.,true,true,15,0,1 turn per level,Changes temperature within 10 ft of the caster to extreme heat or cold.,None,"weather,environment",ready,Ready for validation
Druid,4,Plant Door,plant-door,Companion,15,0,1 turn per level,Allows the druid to pass through trees and dense plant growth as if through a doorway.,None,"plants,movement",Moves through plant matter.,true,true,15,0,1 turn per level,Allows the druid to pass through trees and dense plant growth as if through a doorway.,None,"plants,movement",ready,Ready for validation
Druid,4,Protection from Lightning,protection-from-lightning,Companion,15,Touch,1 turn per level,"Protects one creature from lightning damage, including natural and magical lightning.",None,"lightning,protection",Grants lightning protection.,true,true,15,Touch,1 turn per level,"Protects one creature from lightning damage, including natural and magical lightning.",None,"lightning,protection",ready,Ready for validation
Druid,5,Anti-Plant Shell,anti-plant-shell,Companion,16,0,1 round per level,Personal invisible barrier blocks attacks from plants and plant-like monsters.,None,"plants,protection,barrier",Blocks plant attacks around caster.,true,true,16,0,1 round per level,Personal invisible barrier blocks attacks from plants and plant-like monsters.,None,"plants,protection,barrier",ready,Ready for validation
Druid,5,Control Winds,control-winds,Companion,16,10 ft radius per level,1 turn per level,Calms or increases winds within range; can affect air creatures with proper control.,Spells negates for air creatures,"weather,air,control",Controls wind strength around caster.,true,true,16,10 ft radius per level,1 turn per level,Calms or increases winds within range; can affect air creatures with proper control.,Spells negates for air creatures,"weather,air,control",ready,Ready for validation
Druid,5,Pass Plant,pass-plant,Companion,16,0,Instantaneous,Short-range teleportation from one tree into another tree of the same type.,None,"plants,teleportation,movement",Tree-to-tree teleport.,true,true,16,0,Instantaneous,Short-range teleportation from one tree into another tree of the same type.,None,"plants,teleportation,movement",ready,Ready for validation
Druid,6,Anti-Animal Shell,anti-animal-shell,Companion,16,0,1 turn per level,Personal invisible barrier blocks attacks from normal and giant animals and animal-intelligence creatures.,None,"animals,protection,barrier",Blocks animal attacks around caster.,true,true,16,0,1 turn per level,Personal invisible barrier blocks attacks from normal and giant animals and animal-intelligence creatures.,None,"animals,protection,barrier",ready,Ready for validation
Druid,6,Transport Through Plants,transport-through-plants,Companion,16,Infinite,Instantaneous,Long-range plant teleport; druid enters one living plant and exits another on the same plane.,None,"plants,teleportation,movement",Long-range travel through living plants.,true,true,16,Infinite,Instantaneous,Long-range plant teleport; druid enters one living plant and exits another on the same plane.,None,"plants,teleportation,movement",ready,Ready for validation
Druid,6,Summon Weather,summon-weather,Companion,16,5 miles or more,6 turns per level,Summons weather appropriate to the climate and season over a broad area.,None,"weather,summoning",Calls appropriate natural weather.,true,true,16,5 miles or more,6 turns per level,Summons weather appropriate to the climate and season over a broad area.,None,"weather,summoning",ready,Ready for validation
Druid,7,Creeping Doom,creeping-doom,Companion,16,120 ft,1 round per level,Summons a swarm of insects that moves as directed and deals damage to creatures it engulfs.,None,"insects,damage,summoning",Summons deadly insect swarm.,true,true,16,120 ft,1 round per level,Summons a swarm of insects that moves as directed and deals damage to creatures it engulfs.,None,"insects,damage,summoning",ready,Ready for validation
Druid,7,Metal to Wood,metal-to-wood,Companion,16,120 ft,Permanent,"Transforms metal items in the area into wood, affecting weapons, armor, and gear.",None,"transmutation,wood,metal",Turns metal objects into wood.,true,true,16,120 ft,Permanent,"Transforms metal items in the area into wood, affecting weapons, armor, and gear.",None,"transmutation,wood,metal",ready,Ready for validation
Druid,7,Weather Control,weather-control,Companion,16,0,Concentration,Allows the druid to choose and control local outdoor weather while concentrating.,None,"weather,control",Controls outdoor weather.,true,true,16,0,Concentration,Allows the druid to choose and control local outdoor weather while concentrating.,None,"weather,control",ready,Ready for validation
Magic-User,5,Contact Outer Plane,contact-outer-plane,Companion,20,0,See spell,"Contact an Outer Plane Immortal to ask 3-12 questions, risking insanity for better knowledge.",Special,"divination,planar",Ask questions of an Immortal with risk of insanity.,true,true,20,0,See spell,"Contact an Outer Plane Immortal to ask 3-12 questions, risking insanity for better knowledge.",Special,"divination,planar",ready,Ready for validation
Magic-User,5,Dissolve,dissolve,Companion,20,120 ft,3-18 days,"Turns up to 3,000 square ft of rock or soil into mud; reverse hardens mud to rock permanently.",Spells avoids reverse trapping,"earth,transmutation,reversible",Liquefies ground into mud; reverse hardens mud.,true,true,20,120 ft,3-18 days,"Turns up to 3,000 square ft of rock or soil into mud; reverse hardens mud to rock permanently.",Spells avoids reverse trapping,"earth,transmutation,reversible",ready,Ready for validation
Magic-User,5,Wall of Stone,wall-of-stone,Companion,22,60 ft,Permanent,Creates a stone wall or shape that can be used as a barrier or structure.,None,"wall,earth,creation",Creates permanent stone wall.,true,true,22,60 ft,Permanent,Creates a stone wall or shape that can be used as a barrier or structure.,None,"wall,earth,creation",ready,Ready for validation
Magic-User,6,Wall of Iron,wall-of-iron,Companion,21,120 ft,Permanent,Creates a vertical iron wall that can block passage or topple to damage targets.,None,"wall,metal,creation",Creates permanent iron wall.,true,true,21,120 ft,Permanent,Creates a vertical iron wall that can block passage or topple to damage targets.,None,"wall,metal,creation",ready,Ready for validation
Magic-User,6,Weather Control,weather-control,Companion,21,0,Concentration,Changes outdoor weather in a broad area while the caster concentrates.,None,"weather,control",Controls outdoor weather.,true,true,21,0,Concentration,Changes outdoor weather in a broad area while the caster concentrates.,None,"weather,control",ready,Ready for validation
Magic-User,7,Charm Plant,charm-plant,Companion,22,120 ft,Permanent until dispelled,Charms plant creatures or controls ordinary plant growth in an area.,Spells negates for plant creatures,"plants,charm,control",Controls plants or charms plant monsters.,true,true,22,120 ft,Permanent until dispelled,Charms plant creatures or controls ordinary plant growth in an area.,Spells negates for plant creatures,"plants,charm,control",ready,Ready for validation
Magic-User,7,Create Normal Monsters,create-normal-monsters,Companion,22,30 ft,1 turn,Creates normal monsters up to total Hit Dice equal to caster level; they obey commands then vanish.,None,"creation,summoning,monsters",Creates temporary normal monsters.,true,true,22,30 ft,1 turn,Creates normal monsters up to total Hit Dice equal to caster level; they obey commands then vanish.,None,"creation,summoning,monsters",ready,Ready for validation
Magic-User,7,Delayed Blast Fire Ball,delayed-blast-fire-ball,Companion,22,240 ft,0 to 60 rounds delay,"Creates a delayed fire ball that explodes after a chosen delay, dealing up to 20d6 fire damage.",Spells half,"fire,damage,area",Fire ball with chosen detonation delay.,true,true,22,240 ft,0 to 60 rounds delay,"Creates a delayed fire ball that explodes after a chosen delay, dealing up to 20d6 fire damage.",Spells half,"fire,damage,area",ready,Ready for validation
Magic-User,7,Lore,lore,Companion,22,0,Permanent,"Reveals detailed knowledge about one item, place, or person, with time required varying by familiarity.",None,"divination,knowledge","Researches lore of an item, place, or person.",true,true,22,0,Permanent,"Reveals detailed knowledge about one item, place, or person, with time required varying by familiarity.",None,"divination,knowledge",ready,Ready for validation
Magic-User,7,Magic Door,magic-door,Companion,22,10 ft,7 uses,Creates an invisible magical passage through up to 10 ft of nonliving material; reverse creates magic lock.,None,"movement,barrier,reversible",Creates secret passage; reverse locks portal.,true,true,22,10 ft,7 uses,Creates an invisible magical passage through up to 10 ft of nonliving material; reverse creates magic lock.,None,"movement,barrier,reversible",ready,Ready for validation
Magic-User,7,Mass Invisibility,mass-invisibility,Companion,22,240 ft,Permanent until broken,Makes many creatures or objects invisible within a 60 ft square area; reverse reveals invisibility.,None,"illusion,invisibility,reversible",Grants invisibility to many targets.,true,true,22,240 ft,Permanent until broken,Makes many creatures or objects invisible within a 60 ft square area; reverse reveals invisibility.,None,"illusion,invisibility,reversible",ready,Ready for validation
Magic-User,7,Power Word Stun,power-word-stun,Companion,22,120 ft,2-12 or 1-6 rounds,Stuns one creature with 70 hp or fewer; lower hp targets are stunned longer.,None,"power-word,stun",Stuns a low-hit-point target without save.,true,true,22,120 ft,2-12 or 1-6 rounds,Stuns one creature with 70 hp or fewer; lower hp targets are stunned longer.,None,"power-word,stun",ready,Ready for validation
Magic-User,7,Reverse Gravity,reverse-gravity,Companion,22,90 ft,1/5 round,"Causes creatures and objects in a 30 ft cube to fall upward, then fall back when gravity returns.",None,"gravity,damage,control",Briefly reverses gravity in an area.,true,true,22,90 ft,1/5 round,"Causes creatures and objects in a 30 ft cube to fall upward, then fall back when gravity returns.",None,"gravity,damage,control",ready,Ready for validation
Magic-User,7,Statue,statue,Companion,23,0,2 turns per level,Caster may become a stone statue and return to normal once per round during the spell.,None,"transformation,defense",Caster can shift into statue form.,true,true,23,0,2 turns per level,Caster may become a stone statue and return to normal once per round during the spell.,None,"transformation,defense",ready,Ready for validation
Magic-User,7,Summon Object,summon-object,Companion,23,Infinite,Instantaneous,"Summons one nonliving object from the caster's home to hand, if prepared and not blocked.",None,"summoning,utility",Calls a prepared object to the caster.,true,true,23,Infinite,Instantaneous,"Summons one nonliving object from the caster's home to hand, if prepared and not blocked.",None,"summoning,utility",ready,Ready for validation
Magic-User,7,Sword,sword,Companion,23,30 ft,1 round per level,Creates a magical sword of force that attacks as directed by the caster.,None,"force,damage,weapon",Creates floating magical attacking sword.,true,true,23,30 ft,1 round per level,Creates a magical sword of force that attacks as directed by the caster.,None,"force,damage,weapon",ready,Ready for validation
Magic-User,7,Teleport any Object,teleport-any-object,Companion,23,Touch,Instantaneous,Teleports one object to a known destination; mishap chances apply by familiarity.,Special,"teleportation,utility",Teleports an object.,true,true,23,Touch,Instantaneous,Teleports one object to a known destination; mishap chances apply by familiarity.,Special,"teleportation,utility",ready,Ready for validation
Magic-User,8,Dance,dance,Companion,24,Touch,3 or more rounds,"Forces one touched victim to dance helplessly, losing AC and saves while unable to act.",None,"enchantment,control",Makes touched victim dance helplessly.,true,true,24,Touch,3 or more rounds,"Forces one touched victim to dance helplessly, losing AC and saves while unable to act.",None,"enchantment,control",ready,Ready for validation
Magic-User,8,Explosive Cloud,explosive-cloud,Companion,24,1 ft,6 turns,Creates a moving poisonous cloud that can also explode if touched by fire.,Poison special,"cloud,poison,fire,damage",Creates deadly cloud that may explode.,true,true,24,1 ft,6 turns,Creates a moving poisonous cloud that can also explode if touched by fire.,Poison special,"cloud,poison,fire,damage",ready,Ready for validation
Magic-User,8,Mass Charm,mass-charm,Companion,24,120 ft,Special,Charms multiple creatures with total levels or Hit Dice based on caster level; reverse removes charm.,Spells negates,"charm,enchantment,reversible",Charms many creatures at once.,true,true,24,120 ft,Special,Charms multiple creatures with total levels or Hit Dice based on caster level; reverse removes charm.,Spells negates,"charm,enchantment,reversible",ready,Ready for validation
Magic-User,8,Mind Barrier,mind-barrier,Companion,24,0,1 hour per level,"Protects caster from ESP, crystal balls, and similar mind-reading or scrying; reverse opens mind to reading.",None,"mind,protection,reversible",Blocks mental detection and scrying.,true,true,24,0,1 hour per level,"Protects caster from ESP, crystal balls, and similar mind-reading or scrying; reverse opens mind to reading.",None,"mind,protection,reversible",ready,Ready for validation
Magic-User,8,Permanence,permanence,Companion,25,10 ft,Permanent until dispelled,"Makes certain spell effects permanent, subject to restrictions and dispel magic.",None,"metamagic,permanence",Makes eligible magic effects permanent.,true,true,25,10 ft,Permanent until dispelled,"Makes certain spell effects permanent, subject to restrictions and dispel magic.",None,"metamagic,permanence",ready,Ready for validation
Magic-User,8,Polymorph any Object,polymorph-any-object,Companion,25,240 ft,Variable,Changes one object or creature into another form; duration depends on similarity.,Spells negates for creatures,"transformation,polymorph",Transforms almost any object or creature.,true,true,25,240 ft,Variable,Changes one object or creature into another form; duration depends on similarity.,Spells negates for creatures,"transformation,polymorph",ready,Ready for validation
Magic-User,8,Power Word Blind,power-word-blind,Companion,25,120 ft,1-4 days or 2-8 hours,Blinds one or more creatures with hit point limits; no saving throw.,None,"power-word,blindness",Blinds targets by current hit points.,true,true,25,120 ft,1-4 days or 2-8 hours,Blinds one or more creatures with hit point limits; no saving throw.,None,"power-word,blindness",ready,Ready for validation
Magic-User,8,Symbol,symbol,Companion,25,Touch,Permanent until triggered,"Creates a magical rune with one chosen effect triggered by reading, touching, or passing.",Special,"rune,trap,magic",Creates triggered magical symbol.,true,true,25,Touch,Permanent until triggered,"Creates a magical rune with one chosen effect triggered by reading, touching, or passing.",Special,"rune,trap,magic",ready,Ready for validation
Magic-User,9,Gate,gate,Companion,26,30 ft,Concentration or special,Opens a gate to another plane or calls a powerful creature; reverse closes a gate.,Special,"planar,summoning,reversible",Opens planar gate or calls entity.,true,true,26,30 ft,Concentration or special,Opens a gate to another plane or calls a powerful creature; reverse closes a gate.,Special,"planar,summoning,reversible",ready,Ready for validation
Magic-User,9,Maze,maze,Companion,26,60 ft,Variable,Banishes one creature into an extradimensional maze until it escapes after a time based on Intelligence.,None,"banishment,control",Traps target in extradimensional maze.,true,true,26,60 ft,Variable,Banishes one creature into an extradimensional maze until it escapes after a time based on Intelligence.,None,"banishment,control",ready,Ready for validation
Magic-User,9,Meteor Swarm,meteor-swarm,Companion,26,240 ft,Instantaneous,Creates four or eight fiery meteors that explode for heavy fire damage in selected areas.,Spells half,"fire,damage,area",Creates multiple explosive meteors.,true,true,26,240 ft,Instantaneous,Creates four or eight fiery meteors that explode for heavy fire damage in selected areas.,Spells half,"fire,damage,area",ready,Ready for validation
Magic-User,9,Power Word Kill,power-word-kill,Companion,26,120 ft,Instantaneous,Kills one or more creatures within hit point limits; no saving throw.,None,"power-word,death",Kills low-hit-point targets without save.,true,true,26,120 ft,Instantaneous,Kills one or more creatures within hit point limits; no saving throw.,None,"power-word,death",ready,Ready for validation
